--- Starting Evaluation ---

Title	Install AIDE
Rule	xccdf_org.ssgproject.content_rule_package_aide_installed
Result	fail

Title	Build and Test AIDE Database
Rule	xccdf_org.ssgproject.content_rule_aide_build_database
Result	fail

Title	Configure AIDE to Verify the Audit Tools
Rule	xccdf_org.ssgproject.content_rule_aide_check_audit_tools
Result	fail

Title	Configure Notification of Post-AIDE Scan Details
Rule	xccdf_org.ssgproject.content_rule_aide_scan_notification
Result	fail

Title	Configure AIDE to Verify Access Control Lists (ACLs)
Rule	xccdf_org.ssgproject.content_rule_aide_verify_acls
Result	fail

Title	Configure AIDE to Verify Extended Attributes
Rule	xccdf_org.ssgproject.content_rule_aide_verify_ext_attributes
Result	fail

Title	Audit Tools Must Be Group-owned by Root
Rule	xccdf_org.ssgproject.content_rule_file_audit_tools_group_ownership
Result	pass

Title	Audit Tools Must Be Owned by Root
Rule	xccdf_org.ssgproject.content_rule_file_audit_tools_ownership
Result	pass

Title	Audit Tools Must Have a Mode of 0755 or Less Permissive
Rule	xccdf_org.ssgproject.content_rule_file_audit_tools_permissions
Result	pass

Title	Enable Dracut FIPS Module
Rule	xccdf_org.ssgproject.content_rule_enable_dracut_fips_module
Result	fail

Title	Enable FIPS Mode
Rule	xccdf_org.ssgproject.content_rule_enable_fips_mode
Result	fail

Title	Set kernel parameter 'crypto.fips_enabled' to 1
Rule	xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled
Result	fail

Title	Configure BIND to use System Crypto Policy
Rule	xccdf_org.ssgproject.content_rule_configure_bind_crypto_policy
Result	notapplicable

Title	Configure System Cryptography Policy
Rule	xccdf_org.ssgproject.content_rule_configure_crypto_policy
Result	fail

Title	Configure GnuTLS library to use DoD-approved TLS Encryption
Rule	xccdf_org.ssgproject.content_rule_configure_gnutls_tls_crypto_policy
Result	fail

Title	Configure Kerberos to use System Crypto Policy
Rule	xccdf_org.ssgproject.content_rule_configure_kerberos_crypto_policy
Result	pass

Title	Configure Libreswan to use System Crypto Policy
Rule	xccdf_org.ssgproject.content_rule_configure_libreswan_crypto_policy
Result	pass

Title	Configure OpenSSL library to use System Crypto Policy
Rule	xccdf_org.ssgproject.content_rule_configure_openssl_crypto_policy
Result	pass

Title	Configure OpenSSL library to use TLS Encryption
Rule	xccdf_org.ssgproject.content_rule_configure_openssl_tls_crypto_policy
Result	pass

Title	Configure SSH to use System Crypto Policy
Rule	xccdf_org.ssgproject.content_rule_configure_ssh_crypto_policy
Result	pass

Title	Configure SSH Client to Use FIPS 140-2 Validated Ciphers: openssh.config
Rule	xccdf_org.ssgproject.content_rule_harden_sshd_ciphers_openssh_conf_crypto_policy
Result	fail

Title	Configure SSH Server to Use FIPS 140-2 Validated Ciphers: opensshserver.config
Rule	xccdf_org.ssgproject.content_rule_harden_sshd_ciphers_opensshserver_conf_crypto_policy
Result	fail

Title	Configure SSH Client to Use FIPS 140-2 Validated MACs: openssh.config
Rule	xccdf_org.ssgproject.content_rule_harden_sshd_macs_openssh_conf_crypto_policy
Result	fail

Title	Configure SSH Server to Use FIPS 140-2 Validated MACs: opensshserver.config
Rule	xccdf_org.ssgproject.content_rule_harden_sshd_macs_opensshserver_conf_crypto_policy
Result	fail

Title	The Installed Operating System Is Vendor Supported
Rule	xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported
Result	pass

Title	Install McAfee Endpoint Security for Linux (ENSL)
Rule	xccdf_org.ssgproject.content_rule_package_mcafeetp_installed
Result	fail

Title	Ensure McAfee Endpoint Security for Linux (ENSL) is running
Rule	xccdf_org.ssgproject.content_rule_agent_mfetpd_running
Result	fail

Title	Encrypt Partitions
Rule	xccdf_org.ssgproject.content_rule_encrypt_partitions
Result	notchecked

